material_id,formula,bl_mean,bl_min,bl_max,bl_std,coord_num,bandwidth_W,uw_ratio,distortion,frac_octahedral,n_tm_sites,total_magnetization,num_magnetic_sites,is_magnetic,formation_energy_per_atom,energy_above_hull,nsites,volume_per_atom,density,nelements,band_gap,efermi,is_mott,is_mott_uw
mp-brwox,Li2FeAsCO7,2.0376887113121223,1.9717976540311264,2.146970268746001,0.0661353428984121,6.0,2.898991119101518,1.8282222271672823,0.0284804027234794,1.0,4,0.000681499999999,4,1,-1.9527329968055551,0.026211699999998,48,12.34344850384803,3.011802096555212,5,2.2223,0.62968051,0,1
mp-brwoz,Li3FeBAsO7,2.0354131626112597,1.979263246427698,2.146454979073542,0.0527411574721899,6.0,2.902105560157776,1.8262602411029667,0.0188709197754086,1.0,2,10.0020406,2,1,-2.178979177051281,0.092392624395605,26,11.064452519298632,3.167774255434147,5,2.2191,1.17023181,0,1
mp-brwte,Na2FeCSO7,2.1748622914773055,2.087071982131937,2.221807250612359,0.0442102221665387,6.0,2.540213176877573,1.69277350946314,0.0171426059725167,1.0,4,16.0,2,1,-1.9960400650215504,0.035865378333342,48,13.70493759904822,2.603966903991356,5,3.6176999999999992,1.21315281,0,1
mp-brwtk,Na3FeAsCO7,2.1456657104963717,2.0368457110756837,2.383653554202541,0.1227833743491894,6.0,2.6304914609289325,1.6346755217053748,0.0487437404050498,1.0,4,15.9999991,2,1,-1.9772908193567271,0.0,52,12.082879979078625,3.4224323789864153,5,1.7516,1.52729354,0,1
mp-brwvs,Na3FeSiCO7,2.08358217346455,1.944511521437546,2.292144203778732,0.1441054559661774,6.0,2.802212363901817,1.891362720497118,0.0635152136036928,1.0,2,10.0037699,2,1,-2.292454339164456,0.0,26,12.042610723741175,2.937094676078928,5,2.764699999999999,1.53671557,0,1
mp-brwyz,Li3FeSiBO7,1.9990703600807604,1.9199180871950043,2.248250354559315,0.1125536392277518,6.0,3.0282204710851084,1.7502028173334554,0.0415493120292981,1.0,2,8.0003533,2,1,-2.424018424551282,0.083487209102565,26,10.442774965356143,2.783468580767431,5,0.0,1.04396589,0,1
mp-brxac,Na3FeSiBO7,2.024579812022012,1.9211054905379548,2.1240697913202693,0.0691830814428034,6.0,2.938011391388091,1.803941269777026,0.0296819870429789,1.0,2,8.0000011,2,1,-2.350754717177276,0.022791085576924,26,12.171865153335276,2.893315460699867,5,0.0,1.09634001,0,1
mp-brxcz,Na3FeBAsO7,2.063290660495693,2.0000709026020336,2.0956094363673783,0.0320394198340304,6.0,2.8208561543325135,1.8788621999954889,0.0114444861635524,1.0,2,10.0009188,2,1,-2.115342865061891,0.030033047390109,26,12.75228227728729,3.230762664036418,5,2.0654,1.49244239,0,1
mp-brydc,Li2FeSiCO7,2.0011333280679047,1.8898384565867512,2.185930478489054,0.1182416207542701,6.0,3.026856760804077,1.750991590561245,0.0534679805866796,1.0,4,0.0055209,4,1,-2.197448208055555,0.100279442847218,48,11.5504002591838,2.657477280360021,5,0.0,0.44910683,0,1
mp-bryfn,Na2FeSiCO7,2.0386127181052616,1.9038180013236785,2.316218758011206,0.144294074405366,6.0,2.9274567037124166,1.8104452213687303,0.0617249849872235,1.0,2,8.000092,2,1,-2.162749663979885,0.045734632256944,24,13.227259964372433,2.656372351935865,5,0.0,0.30549203,0,1
mp-bryhe,Li2FeSn(PO4)2,2.210479579451,2.1381664991366223,2.3303980707153342,0.0668646046660145,6.0,2.4625340088627903,1.7461689326640473,0.0277162856935752,1.0,4,1.3900000000000002e-05,4,1,-2.412164300960884,0.062991719404762,56,12.304161458773592,3.647513403241426,5,3.238799999999999,3.54477155,0,1
mp-bryqh,Na2FeAsCO7,2.0524097420527063,1.9963249970347023,2.1316576933482736,0.0452000057785623,6.0,2.852818351039086,1.857811943624704,0.0191553201975582,1.0,4,1.1e-06,4,1,-1.9312400860632184,0.0,48,13.938216312612049,2.985864513979066,5,2.1663,0.51908307,0,1
mp-bsaef,K2FePCO7,2.075260248349746,1.9741760043219243,2.146524089900371,0.0656390315323894,6.0,2.794867491676225,1.8963331949670783,0.0273377214014972,1.0,2,10.0012021,2,1,-2.250526834511904,0.0,24,15.371164392077551,2.601907055264226,5,1.1862,-0.24712306,0,1
mp-bsbit,Na3FeBSO7,2.1846697041086,2.0436723202551423,2.2695623313619766,0.0820104392399356,6.0,2.525167207092811,1.7028621309299343,0.0343165367466816,1.0,4,0.0053414,4,1,-2.148321354677276,0.069408213461539,52,12.754624576412809,2.800973245014763,5,2.9324,2.06806038,0,1
mp-bsgme,Li2FeBPO7,2.0016252912548502,1.941825436737285,2.051795523824704,0.0335573770773463,6.0,2.9976774867122744,1.7680354285920248,0.0125001667508188,1.0,2,0.2934719,0,0,-2.072246142539682,0.373206958839282,24,11.684498820305985,2.646975878678169,5,0.2376,0.31555961,0,1
mp-bsinl,LiFePCO7,2.027135320069988,1.9013743811182269,2.288552214152746,0.1279044548829417,6.0,2.9524220005191166,1.7951363318211673,0.0429862593934985,1.0,2,8.0002792,4,1,-2.068145987088743,0.070739176193183,22,12.790615693706524,2.570132766210754,5,0.0,-0.36173323,0,1
mp-bnocr,K4Na2FeH3F12,1.97013392052638,1.9550532461843064,1.9836257153859664,0.0117186433394924,6.0,3.0919746222971334,1.7141149742239634,0.0051030961854763,1.0,1,5.0020692,1,1,-2.666252364795845,0.028413752272729,22,13.996586060085628,2.638217695373441,5,4.0785,-2.5637173,0,1
mp-cpufw,Sr2FeCu(PbO3)2,1.9509573488265912,1.8591303066226288,2.171164948962929,0.0453934166746153,4.0,2.0246707330330325,1.832605999147656,0.0418972452488726,0.5,4,10.0026222,2,1,-1.991029511249999,0.0,24,16.09477384909066,6.921395002281809,5,0.944199999999999,3.71552786,0,1
mp-bifls,FePH5CO4,2.1895958007821212,2.0878919111749035,2.33869798087842,0.0850145191584062,6.0,2.514155857641926,1.7103166855994625,0.0354850731020709,1.0,2,8.0000073,2,1,-1.324080667991071,0.0301920925521,24,10.603005065379335,2.19080435660963,5,3.042399999999999,0.69230943,0,1
mp-bpwbp,FePH6NO5,2.1876849383727857,2.078098726919883,2.293481434748795,0.0757813393144378,6.0,2.5163617552091635,1.7088164014929628,0.0311581553074788,1.0,2,8.0000831,2,1,-1.5059890897959192,0.003797269470239,28,8.888295674092577,2.493689583699202,5,1.8277,1.32082199,0,1
mp-bqzhj,Li3FePCO7,2.1615347573966694,2.04903431104929,2.3179246013109434,0.110299726096561,6.0,2.588073129737503,1.6614679607989031,0.0466346450070607,1.0,4,8e-07,4,1,-2.309211172664834,0.073290421153843,52,11.069028256324382,2.673162100825113,5,3.9592,1.64590945,0,1
mp-braly,LiFePH2O5,2.1705612640076772,2.1019323596883046,2.2334760109249236,0.0571583321874312,6.0,2.552372757738127,1.6847069014365252,0.0252954001931031,1.0,2,8.0038779,2,1,-2.021397989047619,0.098530119249995,20,10.548635213910956,2.766967792151768,5,3.5129,1.70390705,0,1
mp-bsnud,LiFeP(H6O5)2,2.1799247294862045,2.108467601346783,2.250152950236876,0.0412458130979239,6.0,2.527934091276556,1.7009937145270213,0.0128192520793387,1.0,2,8.0000066,2,1,-1.574298170519048,0.041674868799994,50,9.140252433785976,1.931906031073718,5,4.0501,-0.16078539,0,1
mp-cumcn,FePH6NO5,2.186302474551437,2.077771879490219,2.3480764444127944,0.0838062183649509,6.0,2.521313103769332,1.7054631824391562,0.0321495446868436,1.0,4,0.000789499999999,4,1,-1.506355354438776,0.003431004827382,56,8.891016963665008,2.492926335637846,5,3.6401,1.436555059999999,0,1
mp-kcw,KFePO4F,2.0154967612206973,1.949015670401824,2.083333438738137,0.037751111500989,6.0,2.957318816106995,1.7922076796537427,0.0161907364875521,1.0,8,1.8040563,8,1,-2.335828393205357,0.200375321104159,64,14.20548584287334,3.052591003617373,5,2.4331,0.36308176,0,1
mp-brpiq,Li2ZrFe(PO4)3,2.055107659736847,1.9609204229495776,2.138147605675487,0.070135009297668,6.0,2.851297849928623,1.8588026502151207,0.0315227355111904,1.0,4,20.0075829,4,1,-2.821243634899748,0.003017377105262,76,12.80165847320652,3.043916434674435,5,2.4566,0.65138193,0,1
mp-brxwu,LiFePO4F,2.011813307200711,1.9333923827002428,2.0962148769471596,0.0436369531760869,6.0,2.96969812884662,1.7847153327158352,0.0183484479768218,1.0,8,1e-07,8,1,-2.516554391153273,0.038324552656249,64,13.631117848476617,2.691542401584647,5,2.4861,0.66360491,0,1
mp-crtay,DyFeNi4,2.438419865020344,2.4251385591252834,2.470451488803997,0.0118113214983896,7.2,2.419696483406611,2.519622497839353,2.299695944286538e-07,0.4,5,4.0255467,6,1,-0.252025968611109,0.055617868749998,6,13.795914024078924,9.089903186671163,3,0.0,6.08761925,0,1
mp-crurp,CeFeNi4,2.480778434311806,2.47447137312,2.483423704999819,0.0024483457644347,7.2,2.3403685941559536,2.610849438632301,4.5152350160059274e-07,0.4,5,0.1228809,1,1,-0.176098761666665,0.126984873194448,6,14.365835007957836,8.2980630809152,3,0.0,7.27481001,0,1
mp-cruve,Ce2FeSi3,2.333654536767294,2.333652333012,2.3336556386449407,1.558290312325903e-06,3.0,1.1017374681432617,4.810583422321105,,0.0,1,0.1118174,1,1,-0.534162379999999,0.106889327916664,6,19.152773488723813,6.073795684313872,3,0.0,8.15216173,0,1
mp-cswyb,LiFeN,1.7901302977927172,1.7901298270472408,1.7901309506100311,4.764178498956777e-07,3.0,1.872328139138196,2.2966059795369116,,0.0,1,0.255488,1,1,-0.267661366111112,0.190706033333329,3,11.504293951511285,3.694773415826538,3,0.0,3.11724003,0,1
mp-csxat,NaFeN,1.7584209072893393,1.7584209072893393,1.7584209072893393,0.0,2.0,1.293642615436382,3.323947393731683,,0.0,1,2.1591691,1,1,0.203123774540229,0.412287392873563,3,19.238682683787538,2.671126869303105,3,0.0,0.87617309,0,1
mp-lkj,NbFeB,2.513868932423032,2.1275492057819996,2.591136242309396,0.1092682060338148,10.5,3.343745664332197,1.3813690266916798,,0.0,2,5.84e-05,0,0,-0.123377973055556,0.416574135555555,3,11.595622369404603,7.616655007346513,3,0.0,6.1612431,0,1
